State,TargetDate,MostBoughtSize,Count
ANDAMAN & NICOBAR,04-02-22,M,1
ANDAMAN & NICOBAR,04-03-22,S,2
ANDAMAN & NICOBAR,04-04-22,S,3
ANDAMAN & NICOBAR,04-05-22,S,3
ANDAMAN & NICOBAR,04-06-22,S,3
ANDAMAN & NICOBAR,04-07-22,S,4
ANDAMAN & NICOBAR,04-08-22,S,4
ANDAMAN & NICOBAR,04-09-22,XL,5
ANDAMAN & NICOBAR,04-10-22,XS,5
ANDAMAN & NICOBAR,04-11-22,XL,4
ANDAMAN & NICOBAR,04-12-22,XL,4
ANDAMAN & NICOBAR,04-13-22,XL,4
ANDAMAN & NICOBAR,04-14-22,XXL,4
ANDAMAN & NICOBAR,04-15-22,XXL,7
ANDAMAN & NICOBAR,04-16-22,XXL,7
ANDAMAN & NICOBAR,04-17-22,XXL,6
ANDAMAN & NICOBAR,04-18-22,XXL,5
ANDAMAN & NICOBAR,04-19-22,XXL,5
ANDAMAN & NICOBAR,04-20-22,3XL,5
ANDAMAN & NICOBAR,04-21-22,XL,6
ANDAMAN & NICOBAR,04-22-22,XL,7
ANDAMAN & NICOBAR,04-23-22,XL,6
ANDAMAN & NICOBAR,04-24-22,3XL,5
ANDAMAN & NICOBAR,04-25-22,XL,5
ANDAMAN & NICOBAR,04-26-22,S,5
ANDAMAN & NICOBAR,04-27-22,S,4
ANDAMAN & NICOBAR,04-28-22,S,4
ANDAMAN & NICOBAR,04-29-22,S,3
ANDAMAN & NICOBAR,04-30-22,S,3
ANDAMAN & NICOBAR,05-01-22,S,2
ANDAMAN & NICOBAR,05-02-22,3XL,3
ANDAMAN & NICOBAR,05-03-22,3XL,3
ANDAMAN & NICOBAR,05-04-22,3XL,4
ANDAMAN & NICOBAR,05-05-22,M,5
ANDAMAN & NICOBAR,05-06-22,M,5
ANDAMAN & NICOBAR,05-07-22,3XL,4
ANDAMAN & NICOBAR,05-08-22,3XL,4
ANDAMAN & NICOBAR,05-09-22,3XL,4
ANDAMAN & NICOBAR,05-10-22,3XL,5
ANDAMAN & NICOBAR,05-11-22,XL,5
ANDAMAN & NICOBAR,05-12-22,3XL,7
ANDAMAN & NICOBAR,05-13-22,XL,7
ANDAMAN & NICOBAR,05-14-22,XL,7
ANDAMAN & NICOBAR,05-15-22,XL,7
ANDAMAN & NICOBAR,05-16-22,XL,8
ANDAMAN & NICOBAR,05-17-22,XXL,5
ANDAMAN & NICOBAR,05-18-22,XXL,6
ANDAMAN & NICOBAR,05-19-22,M,8
ANDAMAN & NICOBAR,05-20-22,M,7
ANDAMAN & NICOBAR,05-21-22,M,7
ANDAMAN & NICOBAR,05-22-22,M,6
ANDAMAN & NICOBAR,05-23-22,M,6
ANDAMAN & NICOBAR,05-24-22,M,6
ANDAMAN & NICOBAR,05-25-22,M,6
ANDAMAN & NICOBAR,05-26-22,XL,4
ANDAMAN & NICOBAR,05-27-22,XL,4
ANDAMAN & NICOBAR,05-28-22,XL,5
ANDAMAN & NICOBAR,05-29-22,XL,4
ANDAMAN & NICOBAR,05-30-22,XL,4
ANDAMAN & NICOBAR,05-31-22,XL,4
ANDAMAN & NICOBAR,06-01-22,XL,3
